# name	kind	replacement	introduced	remove_after
SHOWCASE_PLOT_STATUS_ID	moved	moxi_demo.SHOWCASE_PLOT_STATUS_ID	0.6	never
SHOWCASE_PLOT_STREAM_ID	moved	moxi_demo.SHOWCASE_PLOT_STREAM_ID	0.6	never
SHOWCASE_PLOT_SVG	moved	moxi_demo.SHOWCASE_PLOT_SVG	0.6	never
SHOWCASE_PLOT_TOGGLE_MARKS_ID	moved	moxi_demo.SHOWCASE_PLOT_TOGGLE_MARKS_ID	0.6	never
SHOWCASE_PLOT_TOOLBAR_ID	moved	moxi_demo.SHOWCASE_PLOT_TOOLBAR_ID	0.6	never
SHOWCASE_RESET_ID	moved	moxi_demo.SHOWCASE_RESET_ID	0.6	never
ShowcaseState	moved	moxi_demo.ShowcaseState	0.6	never
TRANSFORM_AGGREGATE	moved	moxi_plot.TRANSFORM_AGGREGATE	0.6	never
TRANSFORM_BIN	moved	moxi_plot.TRANSFORM_BIN	0.6	never
TRANSFORM_BOX	moved	moxi_plot.TRANSFORM_BOX	0.6	never
TRANSFORM_CALCULATE	moved	moxi_plot.TRANSFORM_CALCULATE	0.6	never
TRANSFORM_DENSITY	moved	moxi_plot.TRANSFORM_DENSITY	0.6	never
TRANSFORM_ECDF	moved	moxi_plot.TRANSFORM_ECDF	0.6	never
TRANSFORM_FILTER_BETWEEN	moved	moxi_plot.TRANSFORM_FILTER_BETWEEN	0.6	never
TRANSFORM_FILTER_GREATER	moved	moxi_plot.TRANSFORM_FILTER_GREATER	0.6	never
TRANSFORM_GROUP	moved	moxi_plot.TRANSFORM_GROUP	0.6	never
TRANSFORM_HEATMAP	moved	moxi_plot.TRANSFORM_HEATMAP	0.6	never
TRANSFORM_HEXBIN	moved	moxi_plot.TRANSFORM_HEXBIN	0.6	never
TRANSFORM_HISTOGRAM	moved	moxi_plot.TRANSFORM_HISTOGRAM	0.6	never
TRANSFORM_IMPUTE	moved	moxi_plot.TRANSFORM_IMPUTE	0.6	never
TRANSFORM_LIMIT	moved	moxi_plot.TRANSFORM_LIMIT	0.6	never
TRANSFORM_REGRESSION	moved	moxi_plot.TRANSFORM_REGRESSION	0.6	never
TRANSFORM_ROLLING_MEAN	moved	moxi_plot.TRANSFORM_ROLLING_MEAN	0.6	never
TRANSFORM_SAMPLE	moved	moxi_plot.TRANSFORM_SAMPLE	0.6	never
TRANSFORM_SORT	moved	moxi_plot.TRANSFORM_SORT	0.6	never
TRANSFORM_STACK	moved	moxi_plot.TRANSFORM_STACK	0.6	never
TYPE_BOOL	moved	moxi_plot.TYPE_BOOL	0.6	never
TYPE_NOMINAL	moved	moxi_plot.TYPE_NOMINAL	0.6	never
TYPE_ORDINAL	moved	moxi_plot.TYPE_ORDINAL	0.6	never
TYPE_QUANTITATIVE	moved	moxi_plot.TYPE_QUANTITATIVE	0.6	never
TYPE_TEMPORAL	moved	moxi_plot.TYPE_TEMPORAL	0.6	never
channel_name	moved	moxi_plot.channel_name	0.6	never
column_kind_name	moved	moxi_plot.column_kind_name	0.6	never
composition_name	moved	moxi_plot.composition_name	0.6	never
data_type_name	moved	moxi_plot.data_type_name	0.6	never
demo_category_name	moved	moxi_demo.demo_category_name	0.6	never
demo_category_short_name	moved	moxi_demo.demo_category_short_name	0.6	never
interaction_name	moved	moxi_plot.interaction_name	0.6	never
make_plot_data_fixture	removed	moxi_plot.fixtures.make_plot_data_fixture	0.6	never
make_plot_scenario	removed	moxi_plot.fixtures.make_plot_scenario	0.6	never
plot_from_spec	moved	moxi_plot.plot_from_spec	0.6	never
plot_mark_name	moved	moxi_plot.plot_mark_name	0.6	never
plot_spec_from_json	moved	moxi_plot.plot_spec_from_json	0.6	never
scale_kind_name	moved	moxi_plot.scale_kind_name	0.6	never
transform_name	moved	moxi_plot.transform_name	0.6	never
